役割,説明,入力で使う記号 (複数可),出力される記号,振る舞い:休日扱い？,振る舞い:勤務係数,振る舞い:希望は絶対？
WORK_DEFAULT,通常の勤務（希望なし）,, ,いいえ,1.0,いいえ
HOLIDAY_DEFAULT,プログラムが割り当てる休み,,-,はい,0.0,いいえ
WORK_FROM_WEAK,準希望休が出勤になった日,,出,いいえ,1.0,いいえ
WORK_REQUEST,出勤希望,○,○,いいえ,1.0,はい
HOLIDAY_WEAK,"準希望休（できれば休み）","△,/",△,はい,0.0,いいえ
HOLIDAY_STRONG,"休み希望（確定）",×,×,はい,0.0,はい
HOLIDAY_PAID,有給休暇,"有,有給",有,はい,0.0,はい
HOLIDAY_SPECIAL,特別休暇,特,特,はい,0.0,はい
HOLIDAY_SUMMER,夏季休暇,夏,夏,はい,0.0,はい
HOLIDAY_AM,午前半休,AM休,AM休,はい,0.5,はい
HOLIDAY_PM,午後休,PM休,PM休,はい,0.5,はい
PAID_AM,午前有給,AM有,AM有,はい,0.5,はい
PAID_PM,午後有給,PM有,PM有,はい,0.5,はい
WORK_TRIP,出張,出張,出張,いいえ,0.0,はい
PAID_2H_BEFORE,午前2時間有給,前2h有,前2h有,はい,0.7,はい
PAID_2H_AFTER,午後2時間有給,後2h有,後2h有,はい,0.7,はい
